{'Temp': 28.61, 'Sun': 81, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 81, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 81, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.59, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 59, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.59, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 58, 'Ang': 0, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 58, 'Ang': 0, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 58, 'Ang': 0, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 57, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 57, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 58, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 59, 'Ang': 0, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 24, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.61, 'Sun': 24, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.61, 'Sun': 24, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 24, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.61, 'Sun': 24, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.59, 'Sun': 24, 'Ang': 90, 'Fan': 68 },
{'Temp': 29.10, 'Sun': 24, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.61, 'Sun': 24, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.12, 'Sun': 23, 'Ang': 90, 'Fan': 62 },
{'Temp': 28.61, 'Sun': 24, 'Ang': 87, 'Fan': 62 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 85, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 82, 'Fan': 62 },
{'Temp': 28.61, 'Sun': 23, 'Ang': 79, 'Fan': 59 },
{'Temp': 28.61, 'Sun': 23, 'Ang': 75, 'Fan': 59 },
{'Temp': 28.61, 'Sun': 23, 'Ang': 71, 'Fan': 59 },
{'Temp': 28.12, 'Sun': 23, 'Ang': 70, 'Fan': 55 },
{'Temp': 29.10, 'Sun': 24, 'Ang': 68, 'Fan': 59 },
{'Temp': 28.61, 'Sun': 24, 'Ang': 64, 'Fan': 55 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 54, 'Fan': 52 },
{'Temp': 28.61, 'Sun': 23, 'Ang': 36, 'Fan': 45 },
{'Temp': 30.08, 'Sun': 23, 'Ang': 30, 'Fan': 99 },
{'Temp': 30.08, 'Sun': 23, 'Ang': 24, 'Fan': 99 },
{'Temp': 29.59, 'Sun': 23, 'Ang': 17, 'Fan': 42 },
{'Temp': 29.59, 'Sun': 23, 'Ang': 7, 'Fan': 39 },
{'Temp': 29.59, 'Sun': 23, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.59, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.59, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.59, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 30.08, 'Sun': 23, 'Ang': 0, 'Fan': 99 },
{'Temp': 30.08, 'Sun': 23, 'Ang': 11, 'Fan': 99 },
{'Temp': 30.08, 'Sun': 23, 'Ang': 21, 'Fan': 99 },
{'Temp': 30.08, 'Sun': 23, 'Ang': 28, 'Fan': 99 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 34, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 40, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 45, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 23, 'Ang': 46, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 22, 'Ang': 46, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 23, 'Ang': 46, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 22, 'Ang': 44, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 33, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 29, 'Fan': 45 },
{'Temp': 29.59, 'Sun': 22, 'Ang': 21, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 22, 'Ang': 9, 'Fan': 35 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 3, 'Fan': 35 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.59, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.59, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.59, 'Sun': 23, 'Ang': 0, 'Fan': 35 },
{'Temp': 29.59, 'Sun': 23, 'Ang': 0, 'Fan': 39 },
{'Temp': 30.57, 'Sun': 23, 'Ang': 12, 'Fan': 99 },
{'Temp': 29.59, 'Sun': 23, 'Ang': 22, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 29, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 38, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 44, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 23, 'Ang': 53, 'Fan': 52 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 64, 'Fan': 55 },
{'Temp': 29.59, 'Sun': 22, 'Ang': 88, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 22, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.12, 'Sun': 22, 'Ang': 90, 'Fan': 62 },
{'Temp': 29.59, 'Sun': 23, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.61, 'Sun': 23, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 24, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.61, 'Sun': 23, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 23, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 39, 'Ang': 90, 'Fan': 72 },
{'Temp': 29.10, 'Sun': 54, 'Ang': 90, 'Fan': 75 },
{'Temp': 28.61, 'Sun': 56, 'Ang': 90, 'Fan': 75 },
{'Temp': 28.12, 'Sun': 55, 'Ang': 90, 'Fan': 72 },
{'Temp': 28.61, 'Sun': 55, 'Ang': 90, 'Fan': 75 },
{'Temp': 29.10, 'Sun': 57, 'Ang': 90, 'Fan': 79 },
{'Temp': 28.61, 'Sun': 57, 'Ang': 90, 'Fan': 75 },
{'Temp': 29.10, 'Sun': 56, 'Ang': 90, 'Fan': 75 },
{'Temp': 28.61, 'Sun': 36, 'Ang': 90, 'Fan': 68 },
{'Temp': 29.10, 'Sun': 29, 'Ang': 90, 'Fan': 68 },
{'Temp': 28.61, 'Sun': 45, 'Ang': 90, 'Fan': 72 },
{'Temp': 29.10, 'Sun': 55, 'Ang': 90, 'Fan': 75 },
{'Temp': 28.61, 'Sun': 51, 'Ang': 90, 'Fan': 72 },
{'Temp': 29.10, 'Sun': 36, 'Ang': 90, 'Fan': 68 },
{'Temp': 28.12, 'Sun': 30, 'Ang': 90, 'Fan': 65 },
